nii,1,2,3
./res_dicom2nifti/1/1.2.826.0.1.3680043.8.498.66781181711417502200442935481813368822/1.2.826.0.1.3680043.8.498.42816068413942726282925738946416014672.nii,43.0,52.0,61.0
./res_dicom2nifti/10/1.2.826.0.1.3680043.8.498.74092675855268121402218905764656210858/1.2.826.0.1.3680043.8.498.58011923490331605614909284511834411229.nii,40.0,51.0,62.0
./res_dicom2nifti/100/1.2.826.0.1.3680043.8.498.14633259170840905094774007585284494938/1.2.826.0.1.3680043.8.498.12722974421890149532311945401083022843.nii,41.0,59.0,77.0
./res_dicom2nifti/100/1.2.826.0.1.3680043.8.498.14633259170840905094774007585284494938/1.2.826.0.1.3680043.8.498.81465009939638788818126438256428418011.nii,52.0,61.0,69.0
./res_dicom2nifti/101/1.2.826.0.1.3680043.8.498.92487922998586900294233106526263326106/1.2.826.0.1.3680043.8.498.62269367583857852943760285801776672434.nii,15.0,32.0,49.0
./res_dicom2nifti/102/1.2.826.0.1.3680043.8.498.80062628420619977595772805595184677460/1.2.826.0.1.3680043.8.498.65191535336801156701874675329674247832.nii,3.0,22.0,41.0
./res_dicom2nifti/103/1.2.826.0.1.3680043.8.498.98152161880201426862532124054492013557/1.2.826.0.1.3680043.8.498.23635935494344852827857330664916759173.nii,47.0,57.0,66.0
./res_dicom2nifti/103/1.2.826.0.1.3680043.8.498.98152161880201426862532124054492013557/1.2.826.0.1.3680043.8.498.11813261779312006078331954328966850170.nii,39.0,57.0,75.0
./res_dicom2nifti/104/1.2.826.0.1.3680043.8.498.71775721404285808545120842462586985851/1.2.826.0.1.3680043.8.498.89966610154648739945890530475114518971.nii,4.0,28.0,52.0
./res_dicom2nifti/104/1.2.826.0.1.3680043.8.498.71775721404285808545120842462586985851/1.2.826.0.1.3680043.8.498.10529460128049289782891345937986337470.nii,13.0,28.0,42.0
./res_dicom2nifti/105/1.2.826.0.1.3680043.8.498.36743252609334979227539952269861407637/1.2.826.0.1.3680043.8.498.69742114425499140677796089874935784650.nii,36.0,46.0,56.0
./res_dicom2nifti/106/1.2.826.0.1.3680043.8.498.18284242375539563875911820520683047344/1.2.826.0.1.3680043.8.498.79683711066658108431674569837568647629.nii,43.0,60.0,77.0
./res_dicom2nifti/107/1.2.826.0.1.3680043.8.498.11250329308620850349369089954685268786/1.2.826.0.1.3680043.8.498.27216585434026046396708631308317611008.nii,-16.75,-1.0,13.0
./res_dicom2nifti/107/1.2.826.0.1.3680043.8.498.71779090559778908048541811570921854299/1.2.826.0.1.3680043.8.498.17598566927964591771514897533481486138.nii,-8.0,2.0,13.0
./res_dicom2nifti/108/1.2.826.0.1.3680043.8.498.14661480659975400441878650925665884604/1.2.826.0.1.3680043.8.498.10828381981684685955240989066113282772.nii,13.0,29.0,45.0
./res_dicom2nifti/108/1.2.826.0.1.3680043.8.498.45599302089536639222795843064508879183/1.2.826.0.1.3680043.8.498.11656256639315371466278782571379980628.nii,13.0,32.0,51.0
./res_dicom2nifti/109/1.2.826.0.1.3680043.8.498.11178987841667003300460538691484877406/1.2.826.0.1.3680043.8.498.13381565519561833744577637954521844635.nii,34.0,49.0,64.0
./res_dicom2nifti/109/1.2.826.0.1.3680043.8.498.11178987841667003300460538691484877406/1.2.826.0.1.3680043.8.498.42430632961042533342656603156114578094.nii,39.0,49.0,58.0
./res_dicom2nifti/11/1.2.826.0.1.3680043.8.498.68487937784009401532517037156068967389/1.2.826.0.1.3680043.8.498.36927351872286312222404568955081240596.nii,0.0,19.0,38.0
./res_dicom2nifti/110/1.2.826.0.1.3680043.8.498.12696013323513934166530221662131519628/1.2.826.0.1.3680043.8.498.42143656002206692433216347071275629564.nii,34.0,50.0,66.0
./res_dicom2nifti/111/1.2.826.0.1.3680043.8.498.29962143645261852293935284243502692089/1.2.826.0.1.3680043.8.498.61002313927522003693911131639893910725.nii,10.0,28.0,46.0
./res_dicom2nifti/111/1.2.826.0.1.3680043.8.498.72485194895872369480150696839298425369/1.2.826.0.1.3680043.8.498.80779218433674286572463454346887787199.nii,17.0,33.0,50.0
./res_dicom2nifti/112/1.2.826.0.1.3680043.8.498.66122534001941117993919995504562313229/1.2.826.0.1.3680043.8.498.87209265375869200333923593246872459919.nii,9.0,27.0,45.0
./res_dicom2nifti/113/1.2.826.0.1.3680043.8.498.77336016845441438159801679219618069914/1.2.826.0.1.3680043.8.498.10652438268468195479451934726985742135.nii,15.0,34.0,51.0
./res_dicom2nifti/114/1.2.826.0.1.3680043.8.498.16324370682465774490172927216763431079/1.2.826.0.1.3680043.8.498.74569018180707397043645420108420030523.nii,38.0,51.0,62.0
./res_dicom2nifti/114/1.2.826.0.1.3680043.8.498.16324370682465774490172927216763431079/1.2.826.0.1.3680043.8.498.23458218988854690413408742484083164414.nii,31.0,51.0,70.0
./res_dicom2nifti/115/1.2.826.0.1.3680043.8.498.62717788801057195224446636629115577965/1.2.826.0.1.3680043.8.498.11482877167385284508053194620677447255.nii,57.0,69.0,80.0
./res_dicom2nifti/116/1.2.826.0.1.3680043.8.498.10195241430858294020595008731317181792/1.2.826.0.1.3680043.8.498.40717566467936174800084221473301865883.nii,48.0,63.0,79.0
./res_dicom2nifti/117/1.2.826.0.1.3680043.8.498.11916068918215689392937760998511058961/1.2.826.0.1.3680043.8.498.25799817583137688022106289937774960086.nii,27.0,36.0,45.0
./res_dicom2nifti/118/1.2.826.0.1.3680043.8.498.69071668171791829529815494850526202111/1.2.826.0.1.3680043.8.498.28363582963689005839166974805923338134.nii,41.0,50.0,59.0
./res_dicom2nifti/119/1.2.826.0.1.3680043.8.498.71094225320401667350568405917000452830/1.2.826.0.1.3680043.8.498.67835498038971741618285259860364598722.nii,24.0,41.0,58.0
./res_dicom2nifti/12/1.2.826.0.1.3680043.8.498.28815030444572475382357498744617451294/1.2.826.0.1.3680043.8.498.48418300735292984794094954221090759335.nii,41.0,57.0,73.0
./res_dicom2nifti/120/1.2.826.0.1.3680043.8.498.13184289044648108975249241776901590618/1.2.826.0.1.3680043.8.498.78210125537331686427809451987471983649.nii,37.0,50.0,63.0
./res_dicom2nifti/121/1.2.826.0.1.3680043.8.498.12707904644166090446861012949832767097/1.2.826.0.1.3680043.8.498.71506225968817674066307275789420467781.nii,46.0,60.0,73.0
./res_dicom2nifti/122/1.2.826.0.1.3680043.8.498.94624398541721153260703465306501876352/1.2.826.0.1.3680043.8.498.65343607147576027611919719765724520526.nii,54.0,65.0,74.0
./res_dicom2nifti/123/1.2.826.0.1.3680043.8.498.85230312221554299879413628853522589956/1.2.826.0.1.3680043.8.498.58159937187724224088727690385042417646.nii,4.0,26.0,48.0
./res_dicom2nifti/124/1.2.826.0.1.3680043.8.498.16291457764115733532967159176851884466/1.2.826.0.1.3680043.8.498.87803927052728833538890210522442655798.nii,25.0,37.0,49.0
./res_dicom2nifti/124/1.2.826.0.1.3680043.8.498.16291457764115733532967159176851884466/1.2.826.0.1.3680043.8.498.94974813332815218860835903544959802629.nii,18.0,37.0,56.0
./res_dicom2nifti/124/1.2.826.0.1.3680043.8.498.93420086948337938930273650674871601712/1.2.826.0.1.3680043.8.498.12827720747674211422831890148588075406.nii,11.0,29.0,46.0
./res_dicom2nifti/124/1.2.826.0.1.3680043.8.498.93420086948337938930273650674871601712/1.2.826.0.1.3680043.8.498.11103780371944690510652344484312671844.nii,17.0,28.0,40.0
./res_dicom2nifti/125/1.2.826.0.1.3680043.8.498.44411464439444333672322856720180085992/1.2.826.0.1.3680043.8.498.20402545064089760128796830375791106057.nii,26.0,41.0,57.0
./res_dicom2nifti/125/1.2.826.0.1.3680043.8.498.54097458767634842638567396884881968740/1.2.826.0.1.3680043.8.498.26515724524044796188205967137016268603.nii,23.0,39.0,55.0
./res_dicom2nifti/126/1.2.826.0.1.3680043.8.498.16235536750940946799959156285173492253/1.2.826.0.1.3680043.8.498.11985196524539087893185645556241693481.nii,26.0,36.0,47.0
./res_dicom2nifti/126/1.2.826.0.1.3680043.8.498.50645419857661912119069576207686786353/1.2.826.0.1.3680043.8.498.47777285068452142312900004778078827272.nii,13.0,28.0,43.0
./res_dicom2nifti/127/1.2.826.0.1.3680043.8.498.71483823509733879395719082803163062086/1.2.826.0.1.3680043.8.498.34939400562444359530529304264148906246.nii,8.0,27.0,45.0
./res_dicom2nifti/128/1.2.826.0.1.3680043.8.498.46842044745816431472123785906043869678/1.2.826.0.1.3680043.8.498.82309879059851420552758365607004915749.nii,40.0,56.0,71.0
./res_dicom2nifti/129/1.2.826.0.1.3680043.8.498.24470270158829308732959270460081126371/1.2.826.0.1.3680043.8.498.33350947892598760182863889343530129040.nii,38.0,52.0,65.0
./res_dicom2nifti/13/1.2.826.0.1.3680043.8.498.43334737134058175338706972282483785305/1.2.826.0.1.3680043.8.498.11452454937972085628523203731630425938.nii,-3.0,14.0,31.0
./res_dicom2nifti/130/1.2.826.0.1.3680043.8.498.12269241185324628861793473066787475349/1.2.826.0.1.3680043.8.498.28992944540479331415923165378509448731.nii,32.0,43.0,55.0
./res_dicom2nifti/130/1.2.826.0.1.3680043.8.498.48075633431343092806852438355137049749/1.2.826.0.1.3680043.8.498.73885314837863526007968986829325375852.nii,45.0,55.0,65.0
./res_dicom2nifti/131/1.2.826.0.1.3680043.8.498.75014202930192730882204879977362136835/1.2.826.0.1.3680043.8.498.84788043350644213858169057903435937585.nii,20.0,34.0,49.0
./res_dicom2nifti/132/1.2.826.0.1.3680043.8.498.66880072793667319639100164065116837192/1.2.826.0.1.3680043.8.498.19623785861471962856000655246719834723.nii,-7.0,14.0,35.0
./res_dicom2nifti/133/1.2.826.0.1.3680043.8.498.23240178091117504369118610510070739252/1.2.826.0.1.3680043.8.498.95672465352386790608025954354393529384.nii,46.0,62.0,78.0
./res_dicom2nifti/134/1.2.826.0.1.3680043.8.498.18529077598132013158704286675658504172/1.2.826.0.1.3680043.8.498.11962496284797747358182322995994701929.nii,48.0,61.0,73.0
./res_dicom2nifti/135/1.2.826.0.1.3680043.8.498.67073677368481583411776177339826107126/1.2.826.0.1.3680043.8.498.84911583964865343562269852294233197239.nii,26.0,40.0,55.0
./res_dicom2nifti/136/1.2.826.0.1.3680043.8.498.56580703855653971029639173127873524557/1.2.826.0.1.3680043.8.498.16682212175869444365279734842873195055.nii,18.0,27.0,37.0
./res_dicom2nifti/137/1.2.826.0.1.3680043.8.498.29636203596928530049546724518591796469/1.2.826.0.1.3680043.8.498.16456472669103547327996531241349504846.nii,9.0,27.0,45.0
./res_dicom2nifti/138/1.2.826.0.1.3680043.8.498.26742654214440683583526887976488637057/1.2.826.0.1.3680043.8.498.78205720445877685262616026503257414428.nii,28.0,41.0,53.0
./res_dicom2nifti/138/1.2.826.0.1.3680043.8.498.50708065408868903646423338762010231481/1.2.826.0.1.3680043.8.498.24533802623230713965599400326162062077.nii,33.0,46.0,59.0
./res_dicom2nifti/139/1.2.826.0.1.3680043.8.498.10275865430415578706337636247089046726/1.2.826.0.1.3680043.8.498.69416194757041538015068444672080743951.nii,8.0,23.0,37.0
./res_dicom2nifti/14/1.2.826.0.1.3680043.8.498.11165715194776944052027699264471002115/1.2.826.0.1.3680043.8.498.87904228732369434102879519424342846341.nii,37.0,49.0,59.0
./res_dicom2nifti/14/1.2.826.0.1.3680043.8.498.21997455455255570864297318211355466564/1.2.826.0.1.3680043.8.498.74796245989706856045031760929574125691.nii,28.0,50.0,71.0
./res_dicom2nifti/14/1.2.826.0.1.3680043.8.498.62787557684059239571150737210484501261/1.2.826.0.1.3680043.8.498.12018795746994383773075225743892530586.nii,40.0,55.0,71.0
./res_dicom2nifti/140/1.2.826.0.1.3680043.8.498.12054486274919103813153898672827157225/1.2.826.0.1.3680043.8.498.86989568888268211002336064575176955361.nii,34.0,44.0,53.0
./res_dicom2nifti/141/1.2.826.0.1.3680043.8.498.92834151127945029251507202591387820743/1.2.826.0.1.3680043.8.498.12862411302525163177195757113501777171.nii,34.0,57.0,79.0
./res_dicom2nifti/141/1.2.826.0.1.3680043.8.498.92834151127945029251507202591387820743/1.2.826.0.1.3680043.8.498.12570546254375804024912416309348720250.nii,43.0,56.0,70.0
./res_dicom2nifti/142/1.2.826.0.1.3680043.8.498.12313105998077671598190725800730320376/1.2.826.0.1.3680043.8.498.11642005078366345348872430764344680140.nii,50.0,62.0,72.0
./res_dicom2nifti/142/1.2.826.0.1.3680043.8.498.12783600492099858102790348658804929609/1.2.826.0.1.3680043.8.498.59809668383872141508008188924607730225.nii,35.0,46.0,57.0
./res_dicom2nifti/142/1.2.826.0.1.3680043.8.498.12783600492099858102790348658804929609/1.2.826.0.1.3680043.8.498.64272016319191622369923123282001472049.nii,29.0,46.0,64.0
./res_dicom2nifti/143/1.2.826.0.1.3680043.8.498.11991773318707045722858094258502978089/1.2.826.0.1.3680043.8.498.35515957684791036937575805444057130982.nii,32.0,50.0,67.0
./res_dicom2nifti/144/1.2.826.0.1.3680043.8.498.12485722576853437191919299040960094697/1.2.826.0.1.3680043.8.498.97946783973467906247952071990140092756.nii,19.0,36.0,52.0
./res_dicom2nifti/145/1.2.826.0.1.3680043.8.498.72064884022986601260635968191121747545/1.2.826.0.1.3680043.8.498.84971226428438947653980260543104188263.nii,24.0,42.0,59.0
./res_dicom2nifti/145/1.2.826.0.1.3680043.8.498.72064884022986601260635968191121747545/1.2.826.0.1.3680043.8.498.12617696440894356160862169066997771972.nii,30.0,42.0,52.0
./res_dicom2nifti/146/1.2.826.0.1.3680043.8.498.65172135780982302622365809710432461816/1.2.826.0.1.3680043.8.498.96874593394210245840033611135547612366.nii,40.0,50.0,60.0
./res_dicom2nifti/147/1.2.826.0.1.3680043.8.498.23942801737966726062963008675004851723/1.2.826.0.1.3680043.8.498.20775460461121227309484139822057155782.nii,12.0,31.0,50.0
./res_dicom2nifti/148/1.2.826.0.1.3680043.8.498.41689444348032966810789265111881017123/1.2.826.0.1.3680043.8.498.31145423485859481785209744794433964927.nii,37.0,54.0,71.0
./res_dicom2nifti/149/1.2.826.0.1.3680043.8.498.28240657926652655851426089891986490587/1.2.826.0.1.3680043.8.498.68356735019462456312248492348033964295.nii,44.0,59.0,72.0
./res_dicom2nifti/15/1.2.826.0.1.3680043.8.498.12639348182361976978793927945876768402/1.2.826.0.1.3680043.8.498.32444615115724912272525780762979177513.nii,6.0,27.0,48.0
./res_dicom2nifti/150/1.2.826.0.1.3680043.8.498.75487999726291723699577817331173137147/1.2.826.0.1.3680043.8.498.11715430308541695817805508853770856060.nii,11.0,39.0,67.0
./res_dicom2nifti/151/1.2.826.0.1.3680043.8.498.92283595883007005891540328837498983149/1.2.826.0.1.3680043.8.498.10289764125192162822614300897245797425.nii,32.0,44.0,54.0
./res_dicom2nifti/152/1.2.826.0.1.3680043.8.498.60111581716357858738565031495378936998/1.2.826.0.1.3680043.8.498.10338924211113300936115517460369329728.nii,44.0,60.0,77.0
./res_dicom2nifti/153/1.2.826.0.1.3680043.8.498.13033940530851208671380349705570350775/1.2.826.0.1.3680043.8.498.80327923098944383325875072123516661507.nii,35.0,45.0,55.0
./res_dicom2nifti/154/1.2.826.0.1.3680043.8.498.57432499712545577609659070344868985501/1.2.826.0.1.3680043.8.498.12226033470515861343918849616785811379.nii,20.0,39.0,57.0
./res_dicom2nifti/154/1.2.826.0.1.3680043.8.498.57432499712545577609659070344868985501/1.2.826.0.1.3680043.8.498.10381543483048644144359620757767031270.nii,27.0,38.0,49.0
./res_dicom2nifti/155/1.2.826.0.1.3680043.8.498.75624695078825215229382826580840118017/1.2.826.0.1.3680043.8.498.57051175717339222251559374622089039462.nii,45.0,55.0,65.0
./res_dicom2nifti/156/1.2.826.0.1.3680043.8.498.62826763358350884575069353021207918287/1.2.826.0.1.3680043.8.498.99150640850236777482487987861644229268.nii,6.0,30.0,54.0
./res_dicom2nifti/156/1.2.826.0.1.3680043.8.498.62826763358350884575069353021207918287/1.2.826.0.1.3680043.8.498.11179631632061973219328946299762542470.nii,15.0,29.0,44.0
./res_dicom2nifti/157/1.2.826.0.1.3680043.8.498.13551221792388518310143795629647399618/1.2.826.0.1.3680043.8.498.57471362033226833234553497229670576843.nii,25.0,36.0,47.0
./res_dicom2nifti/158/1.2.826.0.1.3680043.8.498.12877948938574729697722249608874245026/1.2.826.0.1.3680043.8.498.11497671349191251695237623015600782540.nii,10.0,27.0,43.0
./res_dicom2nifti/159/1.2.826.0.1.3680043.8.498.15446672875842498796289453108587845530/1.2.826.0.1.3680043.8.498.14887136940047792883385489075274075840.nii,15.0,24.0,32.0
./res_dicom2nifti/16/1.2.826.0.1.3680043.8.498.91086920972257165434195854721527508978/1.2.826.0.1.3680043.8.498.11612320679938345228202139280505964553.nii,26.0,34.0,41.0
./res_dicom2nifti/160/1.2.826.0.1.3680043.8.498.11621055929909453529431676437752786717/1.2.826.0.1.3680043.8.498.25773195063978937185670982852656262443.nii,40.0,48.0,56.0
./res_dicom2nifti/161/1.2.826.0.1.3680043.8.498.12608996706114339276338397259383369459/1.2.826.0.1.3680043.8.498.42955265238418819225254081506425059386.nii,4.0,22.0,40.0
./res_dicom2nifti/162/1.2.826.0.1.3680043.8.498.10345132138238005449735131997529169976/1.2.826.0.1.3680043.8.498.95889712968238615938191779330012674551.nii,-21.0,-2.0,17.0
./res_dicom2nifti/163/1.2.826.0.1.3680043.8.498.55807341187205381975310577049218719173/1.2.826.0.1.3680043.8.498.11802122670978820955322450699879629714.nii,44.0,54.0,63.0
./res_dicom2nifti/163/1.2.826.0.1.3680043.8.498.55807341187205381975310577049218719173/1.2.826.0.1.3680043.8.498.71488312550877418989407383781141274117.nii,38.0,54.0,70.0
./res_dicom2nifti/164/1.2.826.0.1.3680043.8.498.83668304744821146372612243988505789311/1.2.826.0.1.3680043.8.498.10897816024686723644087483987717340597.nii,51.0,70.0,88.0
./res_dicom2nifti/165/1.2.826.0.1.3680043.8.498.42372446120818505805282897338064441147/1.2.826.0.1.3680043.8.498.74900437463434558282193485699928713737.nii,49.0,61.0,72.0
./res_dicom2nifti/166/1.2.826.0.1.3680043.8.498.68403643677012014225376892955334445064/1.2.826.0.1.3680043.8.498.93410378614932041929594020695121606604.nii,51.0,65.0,80.0
./res_dicom2nifti/167/1.2.826.0.1.3680043.8.498.32049690104156922971217842051036988652/1.2.826.0.1.3680043.8.498.86999802200324663120664641765231836225.nii,17.0,36.0,54.0
./res_dicom2nifti/168/1.2.826.0.1.3680043.8.498.62213492865902826150105200385219287763/1.2.826.0.1.3680043.8.498.59439130504718797733658836257897043136.nii,43.0,54.0,64.0
./res_dicom2nifti/169/1.2.826.0.1.3680043.8.498.96572914182686052313160780794695849734/1.2.826.0.1.3680043.8.498.20506196073143675611359798629353432815.nii,35.0,47.0,59.0
./res_dicom2nifti/17/1.2.826.0.1.3680043.8.498.65288850681892123941311820950578465446/1.2.826.0.1.3680043.8.498.93738233174427325679092259532961256850.nii,-6.0,13.0,32.0
./res_dicom2nifti/170/1.2.826.0.1.3680043.8.498.11822591276347023863974417581731975324/1.2.826.0.1.3680043.8.498.12872371382747240773237355561192375565.nii,36.0,51.0,65.0
./res_dicom2nifti/171/1.2.826.0.1.3680043.8.498.97845039880421786879736975272263307833/1.2.826.0.1.3680043.8.498.71211939294129340011327209702514853449.nii,37.0,52.0,68.0
./res_dicom2nifti/171/1.2.826.0.1.3680043.8.498.97845039880421786879736975272263307833/1.2.826.0.1.3680043.8.498.23726172323525261393488183078877538646.nii,41.0,52.0,62.0
./res_dicom2nifti/172/1.2.826.0.1.3680043.8.498.89837182927654273943613034763893882250/1.2.826.0.1.3680043.8.498.41759765762721948408531720452318237968.nii,20.0,35.0,50.0
./res_dicom2nifti/173/1.2.826.0.1.3680043.8.498.11437884898819456561211167727784161545/1.2.826.0.1.3680043.8.498.64788859847439928406564183379498025731.nii,15.0,32.0,49.0
./res_dicom2nifti/173/1.2.826.0.1.3680043.8.498.11437884898819456561211167727784161545/1.2.826.0.1.3680043.8.498.43074926039031073610637603997433949669.nii,21.0,32.0,43.0
./res_dicom2nifti/174/1.2.826.0.1.3680043.8.498.42510590719614401436384295441969281694/1.2.826.0.1.3680043.8.498.33879451627410069032888302358048920657.nii,26.0,37.0,47.0
./res_dicom2nifti/176/1.2.826.0.1.3680043.8.498.50690086041947124061680273926934650408/1.2.826.0.1.3680043.8.498.41067113871024022489598240359721455843.nii,44.0,59.0,73.0
./res_dicom2nifti/177/1.2.826.0.1.3680043.8.498.35519105002065973452065767280661873009/1.2.826.0.1.3680043.8.498.12734921665156503819898217619089176807.nii,36.0,49.0,63.0
./res_dicom2nifti/177/1.2.826.0.1.3680043.8.498.35519105002065973452065767280661873009/1.2.826.0.1.3680043.8.498.13310604024143134554510173722079662139.nii,40.0,49.0,57.0
./res_dicom2nifti/178/1.2.826.0.1.3680043.8.498.10883757637513974004991319487327686078/1.2.826.0.1.3680043.8.498.78842496806286787179133781167687678411.nii,41.0,58.0,75.0
